USR;TWEET;LANG;DATE;CLAS
kwiderenki;"RT @airdrop_rain: https://t.co/ai5cJef9OK
Join and take your 5 WOT Free! 
5 WOT = 2.5USD now. 
 #bedavaico  #bnb #crypto #xrp #bnb #binance…";en;2018-02-17 12:59:05;NEUTRO
Lx1Tx2Fx3;"UPCOİN SON 12

🔴 REF: https://t.co/K5toyfmvSz 🔴
 
#Bitcoin #BitcoinCash #Ethereum #cryptocurrency #crypto #ICO… https://t.co/a0382CzXyq";en;2018-02-17 12:59:05;NEUTRO
BlockWatcher;"Sat Feb 17 13:58:24 2018 (9:11)
USD : 10826.65
Wght: 0.54
Blk#: 509616
Size: 1014.1 KB
TXs:  1211
Pool: 5523 (46.0 MB)
#bitcoin";en;2018-02-17 12:59:06;NEUTRO
jesshaw09;"RT @xtradeio: ""https://t.co/j9PbJhcdhg's Answer to the Fragmented State of Cryptocurrency""

""The volume of cryptocurrencies launched in 201…";en;2018-02-17 12:59:03;NEUTRO
GillianBardwel6;RT @CryptooSID: #Falconcoin #STAKING starts in 72hrs , Once STAKING starts the first 48hrs will have a #double #interest promotion. so JOIN…;en;2018-02-17 12:59:09;NEUTRO
sunnyacre6131;RT @CryptooSID: #Falconcoin #STAKING starts in 72hrs , Once STAKING starts the first 48hrs will have a #double #interest promotion. so JOIN…;en;2018-02-17 12:59:09;NEUTRO
Crypto_Soup;"RT @NeerajKA: ""Bitcoin is without a doubt the worst currency I’ve ever heard of"" https://t.co/SwGNb4nWXQ";en;2018-02-17 12:59:12;NEUTRO
Remi_Vladuceanu;"Russia Drafts Bill to Accredit ICO Issuers – Public Comments Wanted https://t.co/O0qtMPpAha 
#newsoftheweek… https://t.co/70RGukx0gv";en;2018-02-17 12:59:12;NEUTRO
mdshahin641;"RT @vixsolutions: What are the advantages of email marketing? Find out on our website how we can help you!
#Internet #DigitalMarketing #Int…";en;2018-02-17 12:59:14;NEUTRO
gordeevaverona;The company is just super, I advise everyone to pay attention to it dealing with bitcoin, and there are companies i… https://t.co/hb0O4PpLCn;en;2018-02-17 12:59:14;NEUTRO
Bitcoin_fan2;"RT @theonevortex: Multi-Million Dollar Properties Are Selling for #Bitcoin in San Diego 
https://t.co/ut48P1K0KJ";en;2018-02-17 12:59:14;NEUTRO
auferio;RT @AriannaSimpson: If you wanted to be accurate, you would say this was Visa’s fault. Less accurately, you would blame Coinbase. But blami…;en;2018-02-17 12:59:15;NEUTRO
joevecchiorocks;"RT @digitaltraffic: ... and no mention of @musicoins ... music corporates??? ... https://t.co/YKHKoAcMqZ
#musicoins #bitcoin #blockchain #s…";en;2018-02-17 12:59:15;NEUTRO
damantium;Tecnoiuris: Swiss Regulator Gives Clear Guidelines for Launching ICOs - Bitcoin Magazine via BTCnews on iOS… https://t.co/c5RhbdDOaP;en;2018-02-17 12:59:16;NEUTRO
suindendoshi;"RT @rateico: #NaHCO3 ⭐️ #Sodium #Bicarbonate. Learn how its can help you.
Tullio #Simoncini - #Cancer is a fungus (5 Years in prison).
⭐️ #…";en;2018-02-17 12:59:16;NEUTRO
